scatter_name,x,y
Bechtoldt_Sentences_Three_Higher_24,0,0
Bechtoldt_Sentences_Three_Higher_24,0,812
Bechtoldt_Sentences_Three_Higher_24,261,455
Bechtoldt_Sentences_Three_Higher_24,145,616
Bechtoldt_Sentences_Three_Higher_24,1335,349
Bechtoldt_Sentences_Three_Higher_24,1118.000015,541
Bechtoldt_Sentences_Three_Higher_24,822,352
Bechtoldt_Sentences_Three_Higher_24,1149,617
Bechtoldt_Sentences_Three_Higher_24,385.0000153,549
Bechtoldt_Sentences_Three_Higher_24,994,587
Bechtoldt_Sentences_Three_Higher_24,994,587
Bechtoldt_Sentences_Three_Higher_24,824,427
Bechtoldt_Sentences_Three_Higher_24,1384,185
Bechtoldt_Sentences_Three_Higher_24,534,522
biopsy_V8_V9_30,0,0
biopsy_V8_V9_30,504,779
biopsy_V8_V9_30,504,779
biopsy_V8_V9_30,504,779
biopsy_V8_V9_30,1037,251
biopsy_V8_V9_30,1037,251
biopsy_V8_V9_30,578,639
biopsy_V8_V9_30,933,519
biopsy_V8_V9_30,933,519
biopsy_V8_V9_30,933,519
biopsy_V8_V9_30,1270,295
biopsy_V8_V9_30,617,217
biopsy_V8_V9_30,1246,266
biopsy_V8_V9_30,101.9999847,264
biopsy_V8_V9_30,934,234
biopsy_V8_V9_30,934,234
biopsy_V8_V9_30,941,555
biopsy_V8_V9_30,565,759
VietNamH_educyr_lnrlfood_17,0,0
VietNamH_educyr_lnrlfood_17,497,153
VietNamH_educyr_lnrlfood_17,426,501
VietNamH_educyr_lnrlfood_17,291,151
VietNamH_educyr_lnrlfood_17,306,444
VietNamH_educyr_lnrlfood_17,1072,104
VietNamH_educyr_lnrlfood_17,1527,122
VietNamH_educyr_lnrlfood_17,1527,122
VietNamH_educyr_lnrlfood_17,36,310
VietNamH_educyr_lnrlfood_17,154,473
VietNamH_educyr_lnrlfood_17,725,727
VietNamH_educyr_lnrlfood_17,548,328
VietNamH_educyr_lnrlfood_17,729,288
VietNamH_educyr_lnrlfood_17,411,91
volcano_V19_V61_0.8,0,0
volcano_V19_V61_0.8,8,563
volcano_V19_V61_0.8,8,563
volcano_V19_V61_0.8,1062,682
volcano_V19_V61_0.8,10,465
volcano_V19_V61_0.8,1021,712
volcano_V19_V61_0.8,1498.000015,615
volcano_V19_V61_0.8,1498.000015,615
volcano_V19_V61_0.8,1272,699
volcano_V19_V61_0.8,1317,481
volcano_V19_V61_0.8,1386,676
volcano_V19_V61_0.8,1611,844
volcano_V19_V61_0.8,1644,144
volcano_V19_V61_0.8,804,591
volcano_V19_V61_0.8,1027,393
volcano_V42_V45_34,0,0
volcano_V42_V45_34,82,217
volcano_V42_V45_34,82,217
volcano_V42_V45_34,82,217
volcano_V42_V45_34,82,217
volcano_V42_V45_34,1069,736
volcano_V42_V45_34,74,781
volcano_V42_V45_34,930.0000153,691
volcano_V42_V45_34,930.0000153,691
volcano_V42_V45_34,930.0000153,691
volcano_V42_V45_34,542,392
volcano_V42_V45_34,114,628
volcano_V42_V45_34,114,628
volcano_V42_V45_34,841,79
volcano_V42_V45_34,918,291
volcano_V42_V45_34,229,147
volcano_V42_V45_34,229,147
volcano_V42_V45_34,28,340
volcano_V42_V45_34,28,340
volcano_V42_V45_34,870,592
volcano_V42_V45_34,925,407
votes_X1864_X1920_37,0,0
votes_X1864_X1920_37,845,838
votes_X1864_X1920_37,845,838
votes_X1864_X1920_37,544,823
votes_X1864_X1920_37,669,463
votes_X1864_X1920_37,60,154
votes_X1864_X1920_37,1033.000015,283
votes_X1864_X1920_37,634,769
votes_X1864_X1920_37,634,769
votes_X1864_X1920_37,681,666
votes_X1864_X1920_37,1174,179
votes_X1864_X1920_37,134,570
votes_X1864_X1920_37,587,664
votes_X1864_X1920_37,626,314
votes_X1888_X1976_0.4,0,0
votes_X1888_X1976_0.4,1549,522
votes_X1888_X1976_0.4,243,559
votes_X1888_X1976_0.4,1427,477
votes_X1888_X1976_0.4,1125,834
votes_X1888_X1976_0.4,1125,834
votes_X1888_X1976_0.4,117,453
votes_X1888_X1976_0.4,1054,660
votes_X1888_X1976_0.4,1110,556
votes_X1888_X1976_0.4,436,571
votes_X1888_X1976_0.4,760,717
votes_X1888_X1976_0.4,1409,131
votes_X1888_X1976_0.4,1282,207
votes_X1888_X1976_0.4,753,341
votes_X1892_X1936_99,0,0
votes_X1892_X1936_99,1495,559
votes_X1892_X1936_99,34,410
votes_X1892_X1936_99,729,790
votes_X1892_X1936_99,1502,213
votes_X1892_X1936_99,140,428
votes_X1892_X1936_99,730,651
votes_X1892_X1936_99,730,651
votes_X1892_X1936_99,1093,532
votes_X1892_X1936_99,325,351
votes_X1892_X1936_99,1258.000061,724
votes_X1892_X1936_99,894,191
votes_X1892_X1936_99,1375,199
votes_X1892_X1936_99,888,218
votes_X1912_X1932_0.1,0,0
votes_X1912_X1932_0.1,1619,543
votes_X1912_X1932_0.1,328,593
votes_X1912_X1932_0.1,1237,507
votes_X1912_X1932_0.1,1452,171
votes_X1912_X1932_0.1,492,594
votes_X1912_X1932_0.1,450,52
votes_X1912_X1932_0.1,301,335
votes_X1912_X1932_0.1,986,620
votes_X1912_X1932_0.1,986,620
votes_X1912_X1932_0.1,627,96
votes_X1912_X1932_0.1,1333,270
votes_X1912_X1932_0.1,333,405
waders_S11_S15_0.9,0,0
waders_S11_S15_0.9,157,792
waders_S11_S15_0.9,163,507
waders_S11_S15_0.9,275,627
waders_S11_S15_0.9,1337,410
waders_S11_S15_0.9,1117.000015,571
waders_S11_S15_0.9,856,334
waders_S11_S15_0.9,1113,653
waders_S11_S15_0.9,115.9999847,310
