block,iucr,primary_type,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,latitude,longitude
004XX S MICHIGAN AVE,0460,BATTERY,False,False,113,1.0,2.0,32.0,08B,1177351.0,1898451.0,2015,41.876683313,-87.624283454
043XX N ELSTON AVE,0560,ASSAULT,True,False,1722,17.0,39.0,16.0,08A,1148820.0,1928573.0,2005,41.959939927,-87.728260326
082XX S ELLIS AVE,1130,DECEPTIVE PRACTICE,False,False,631,6.0,8.0,44.0,11,1184330.0,1850591.0,2008,41.74519089,-87.60015835
114XX S YALE AVE,031A,ROBBERY,False,False,522,5.0,34.0,49.0,03,1176658.0,1829017.0,2004,41.686164829,-87.62891636
031XX N LUNA AVE,0320,ROBBERY,False,False,2514,25.0,30.0,19.0,03,1138821.0,1920226.0,2003,41.937222802,-87.76522516200001
032XX W ARMITAGE AVE,0312,ROBBERY,False,False,1413,14.0,35.0,22.0,03,1154609.0,1913111.0,2008,41.917396919,-87.707392238
003XX E OHIO ST,1505,PROSTITUTION,True,False,1834,18.0,42.0,8.0,16,1178513.0,1904263.0,2011,41.892605313000004,-87.619839586
013XX W 71ST ST,0460,BATTERY,True,False,734,7.0,17.0,67.0,08B,1168443.0,1857678.0,2015,41.764995286,-87.658166965
010XX E 45TH ST,1310,CRIMINAL DAMAGE,False,False,222,2.0,4.0,39.0,14,1183902.0,1875385.0,2014,41.813237849000004,-87.600952846
024XX W POTOMAC AVE,1811,NARCOTICS,True,False,1423,14.0,26.0,24.0,18,1160089.0,1908576.0,2004,41.904841015,-87.687384059
012XX W 32ND ST,0920,MOTOR VEHICLE THEFT,True,False,924,9.0,11.0,60.0,07,1168639.0,1883587.0,2006,41.836088271,-87.65670102600001
067XX S CLYDE AVE,0820,THEFT,False,False,331,3.0,5.0,43.0,06,1191372.0,1860700.0,2010,41.772763274,-87.574028787
012XX N CLYBOURN AVE,1320,CRIMINAL DAMAGE,False,False,1821,18.0,27.0,8.0,14,1172817.0,1908564.0,2002,41.904535566999996,-87.640630954
014XX N BOSWORTH AVE,1330,CRIMINAL TRESPASS,True,False,1433,14.0,1.0,24.0,26,1165795.0,1909697.0,2011,41.907797296999995,-87.666392249
015XX E 73RD ST,1310,CRIMINAL DAMAGE,False,False,324,3.0,5.0,43.0,14,1187651.0,1856890.0,2017,41.762397643,-87.587789825
011XX S FRANCISCO AVE,0890,THEFT,False,False,1135,11.0,28.0,29.0,06,1157198.0,1894938.0,2009,41.867476308,-87.69837427
079XX S KEDZIE AVE,0910,MOTOR VEHICLE THEFT,False,False,834,8.0,18.0,70.0,07,1156419.0,1852003.0,2010,41.74967273,-87.702391276
053XX S SAWYER AVE,1320,CRIMINAL DAMAGE,False,False,822,8.0,14.0,63.0,14,1155620.0,1869016.0,2008,41.796375026,-87.70486359799999
043XX S ST LAWRENCE AVE,0820,THEFT,False,False,222,2.0,4.0,38.0,06,1180986.0,1876346.0,2009,41.815942606,-87.611619137
025XX W ARTHINGTON ST,0520,ASSAULT,True,False,1135,11.0,28.0,28.0,04A,1159680.0,1895957.0,2008,41.870221805,-87.68923437
001XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,False,False,1224,12.0,2.0,28.0,11,1165777.0,1899418.0,2017,41.879591353,-87.666751724
079XX S NORMAL AVE,1310,CRIMINAL DAMAGE,False,False,621,6.0,17.0,44.0,14,1174339.0,1852325.0,2009,41.750176975,-87.636715347
031XX N SHEFFIELD AVE,0810,THEFT,False,False,1932,19.0,44.0,6.0,06,1169055.0,1921192.0,2006,41.939269993,-87.65408232
058XX W GIDDINGS ST,0810,THEFT,False,False,1622,16.0,45.0,15.0,06,1136586.0,1930988.0,2010,41.966795155,-87.773180757
062XX S STONY ISLAND AVE,0820,THEFT,False,False,314,3.0,5.0,42.0,06,1187940.0,1864073.0,2012,41.78210152,-87.586502002
003XX W HURON ST,0610,BURGLARY,True,False,1831,18.0,42.0,8.0,05,1173958.0,1905011.0,2003,41.894760587,-87.63654578
034XX N LONG AVE,0484,BATTERY,True,False,1633,16.0,38.0,15.0,08B,1139760.0,1922221.0,2018,41.942680155,-87.761725249
006XX W 63RD ST,0560,ASSAULT,False,False,711,7.0,16.0,68.0,08A,1172906.0,1863108.0,2014,41.779798546,-87.64164873899999
016XX W 47TH ST,0860,THEFT,True,False,924,9.0,3.0,61.0,06,1166298.0,1873549.0,2017,41.80859321,-87.665577234
054XX S MARSHFIELD AVE,0610,BURGLARY,False,False,932,9.0,16.0,61.0,05,1166265.0,1868714.0,2013,41.79532611,-87.66583598700001
037XX W 16TH ST,2026,NARCOTICS,True,False,1014,10.0,24.0,29.0,18,1151848.0,1891789.0,2014,41.858941999,-87.718097927
014XX W 57TH ST,1310,CRIMINAL DAMAGE,False,False,713,7.0,16.0,67.0,14,1167504.0,1866941.0,2013,41.790434298,-87.661343366
050XX W CULLOM AVE,0486,BATTERY,True,True,1624,16.0,45.0,15.0,08B,1141886.0,1928117.0,2016,41.958820148,-87.753764551
066XX S INGLESIDE AVE,0560,ASSAULT,True,False,321,3.0,5.0,42.0,08A,1183698.0,1861181.0,2014,41.77426566,-87.602144255
049XX W ARTHINGTON ST,2014,NARCOTICS,True,False,1533,15.0,24.0,25.0,18,1143820.0,1895517.0,2005,41.869326191999996,-87.747472999
049XX W MADISON ST,1130,DECEPTIVE PRACTICE,False,False,1533,15.0,28.0,25.0,11,1143488.0,1899570.0,2014,41.880454343000004,-87.74859050299999
033XX S DR MARTIN LUTHER KING JR DR,0860,THEFT,True,False,2122,2.0,4.0,35.0,06,1179464.0,1882682.0,2005,41.833364024,-87.617008302
012XX S CANAL ST,1330,CRIMINAL TRESPASS,True,False,131,1.0,2.0,28.0,26,1173312.0,1894715.0,2010,41.866522079,-87.639224168
075XX N SEELEY AVE,2825,OTHER OFFENSE,False,False,2424,24.0,49.0,1.0,26,1161338.0,1949978.0,2004,42.018424239,-87.68163945100001
070XX S CORNELL AVE,0910,MOTOR VEHICLE THEFT,False,False,332,3.0,5.0,43.0,07,1188568.0,1858632.0,2006,41.767155983,-87.58437334799999
044XX N SHERIDAN RD,0460,BATTERY,False,False,1914,19.0,46.0,3.0,08B,1168807.0,1929499.0,2012,41.962070116,-87.654752055
005XX W CHESTNUT ST,2092,NARCOTICS,True,False,1823,18.0,27.0,8.0,26,1172556.0,1906208.0,2005,41.898076352,-87.641659448
057XX S CAMPBELL AVE,1811,NARCOTICS,True,False,824,8.0,16.0,63.0,18,1160687.0,1866432.0,2003,41.789181031,-87.68635369299999
021XX S MICHIGAN AVE,0820,THEFT,False,False,134,1.0,2.0,33.0,06,1177540.0,1890161.0,2010,41.853930752,-87.623841071
049XX W AUGUSTA BLVD,0610,BURGLARY,False,False,1531,15.0,37.0,25.0,05,1143276.0,1906198.0,2007,41.898646321,-87.74920328
036XX N MILWAUKEE AVE,2850,PUBLIC PEACE VIOLATION,False,False,1731,17.0,38.0,16.0,26,1146726.0,1923676.0,2012,41.946542477,-87.73608437600001
010XX W GRANVILLE AVE,0895,THEFT,False,False,2433,24.0,48.0,77.0,06,1167960.0,1941343.0,2015,41.994588742,-87.657522554
014XX N MONTICELLO AVE,2022,NARCOTICS,True,False,2535,25.0,26.0,23.0,18,1151771.0,1909314.0,2015,41.907033969000004,-87.71791926200001
013XX E 67TH ST,5002,OTHER OFFENSE,True,False,321,3.0,5.0,69.0,26,1186022.0,1860834.0,2016,41.773258924000004,-87.593635944
030XX S EMERALD AVE,2021,NARCOTICS,True,False,923,9.0,11.0,60.0,18,1171793.0,1884754.0,2010,41.839221861,-87.645093622
058XX S NOTTINGHAM AVE,0810,THEFT,False,False,811,8.0,23.0,56.0,06,1130047.0,1864917.0,2002,41.78560137,-87.798737325
036XX N WESTERN AVE,1110,DECEPTIVE PRACTICE,False,False,1912,19.0,47.0,5.0,11,1159732.0,1924004.0,2006,41.947183891,-87.68826909100001
071XX S CARPENTER ST,0820,THEFT,False,False,733,7.0,17.0,68.0,06,1170549.0,1857463.0,2018,41.764359677,-87.65045412399999
038XX S CALIFORNIA AVE,0320,ROBBERY,True,False,913,9.0,12.0,58.0,03,1158339.0,1878867.0,2004,41.823352457,-87.69462425299999
078XX S RHODES AVE,143A,WEAPONS VIOLATION,True,False,624,6.0,6.0,69.0,15,1181259.0,1853246.0,2009,41.752547756,-87.611329251
019XX W SUPERIOR ST,0460,BATTERY,False,False,1324,12.0,1.0,24.0,08B,1163387.0,1905022.0,2009,41.895019786,-87.675369656
007XX W DIVISION ST,1350,CRIMINAL TRESPASS,True,False,1822,18.0,27.0,8.0,26,1171234.0,1908233.0,2002,41.903662214,-87.64645544700001
005XX W 66TH ST,1310,CRIMINAL DAMAGE,False,True,722,7.0,20.0,68.0,14,1174076.0,1861146.0,2005,41.774388691999995,-87.637417587
002XX W MADISON ST,0890,THEFT,False,False,122,1.0,42.0,32.0,06,1174636.0,1900346.0,2017,41.881944424000004,-87.634195294
084XX S JUSTINE ST,1811,NARCOTICS,True,False,614,6.0,21.0,71.0,18,1167587.0,1848679.0,2008,41.740319184,-87.661561995
009XX W 103RD ST,1811,NARCOTICS,True,False,2232,5.0,34.0,73.0,18,1171717.0,1836526.0,2008,41.706880145,-87.64678527
053XX W ADDISON ST,0820,THEFT,False,False,1634,16.0,38.0,15.0,06,1140135.0,1923418.0,2002,41.945957969,-87.760317517
014XX N LINDER AVE,0820,THEFT,False,False,2532,25.0,37.0,25.0,06,1139412.0,1909047.0,2018,41.906535632,-87.763326205
018XX W 35TH ST,0860,THEFT,False,False,912,9.0,11.0,59.0,06,1164779.0,1881499.0,2018,41.830441145,-87.67092380700001
070XX W DEVON AVE,0910,MOTOR VEHICLE THEFT,False,False,1611,16.0,41.0,10.0,07,1128162.0,1942167.0,2014,41.997618393,-87.803901147
064XX S WESTERN AVE,1320,CRIMINAL DAMAGE,False,False,825,8.0,15.0,66.0,14,1161476.0,1861986.0,2012,41.776964275,-87.683583862
027XX W 51ST ST,1330,CRIMINAL TRESPASS,False,False,911,9.0,14.0,63.0,26,1159114.0,1870735.0,2011,41.801021379,-87.692003694
047XX W MONROE ST,2092,NARCOTICS,True,False,1113,11.0,28.0,25.0,26,1144708.0,1899144.0,2007,41.87926245,-87.74412147
020XX W WAVELAND AVE,2826,OTHER OFFENSE,False,False,1921,19.0,47.0,5.0,26,1161935.0,1924561.0,2015,41.948666548,-87.680155861
075XX S CONSTANCE AVE,0460,BATTERY,True,False,414,4.0,8.0,43.0,08B,1189843.0,1855445.0,2005,41.758380026,-87.57980235299999
008XX S STATE ST,1154,DECEPTIVE PRACTICE,False,False,123,1.0,2.0,32.0,11,1176487.0,1896508.0,2017,41.871371147,-87.62751441700001
038XX W ROOSEVELT RD,0560,ASSAULT,True,False,1011,10.0,24.0,29.0,08A,1151056.0,1894439.0,2009,41.866229446,-87.72093573299999
014XX E 70TH ST,0545,ASSAULT,False,False,332,3.0,5.0,43.0,08A,1186934.0,1858866.0,2004,41.767836986999995,-87.59035513799999
132XX S LANGLEY AVE,0486,BATTERY,True,True,533,5.0,9.0,54.0,08B,1183252.0,1817814.0,2016,41.655271690999996,-87.60512375299999
077XX S CORNELL AVE,2825,OTHER OFFENSE,False,False,414,4.0,8.0,43.0,26,1188582.0,1853904.0,2004,41.754181599,-87.58447289700001
022XX E 79TH ST,1340,CRIMINAL DAMAGE,False,False,414,4.0,7.0,43.0,14,1192321.0,1853022.0,2005,41.751671193,-87.57079956700001
0000X E 23RD ST,1330,CRIMINAL TRESPASS,True,False,134,1.0,2.0,33.0,26,1176928.0,1889117.0,2003,41.851079798,-87.62611887799999
030XX N FRANCISCO AVE,0810,THEFT,False,False,1411,14.0,33.0,21.0,06,1156521.0,1919935.0,2013,41.936083983,-87.70018235799999
114XX S FRONT AVE,0910,MOTOR VEHICLE THEFT,False,False,531,5.0,9.0,49.0,07,1181195.0,1829106.0,2012,41.686306055,-87.61230466200001
015XX E 75TH ST,031A,ROBBERY,False,False,324,3.0,5.0,43.0,03,1187846.0,1855564.0,2003,41.75875434,-87.587117291
012XX W LELAND AVE,2027,NARCOTICS,True,False,2311,19.0,46.0,3.0,18,1167324.0,1931353.0,2007,41.967189655,-87.66015084700001
052XX W CHICAGO AVE,5011,OTHER OFFENSE,True,False,1524,15.0,37.0,25.0,26,1141461.0,1904831.0,2011,41.894928829,-87.755903553
113XX S LANGLEY AVE,0460,BATTERY,False,False,531,5.0,9.0,50.0,08B,1182935.0,1829908.0,2002,41.688466713000004,-87.60591010700001
078XX S MARYLAND AVE,0320,ROBBERY,True,False,624,6.0,6.0,69.0,03,1183259.0,1853280.0,2004,41.752594766,-87.603999108
073XX S ASHLAND AVE,0486,BATTERY,False,True,735,7.0,17.0,67.0,08B,1166958.0,1855870.0,2015,41.760065748,-87.663661519
018XX S ALLPORT ST,0810,THEFT,False,False,1222,12.0,25.0,31.0,06,1168330.0,1891128.0,2009,41.856788133,-87.657617135
034XX N CLARK ST,0430,BATTERY,False,False,2331,19.0,44.0,6.0,04B,1168801.0,1923373.0,2011,41.945260271,-87.65495239799999
028XX N TROY ST,0820,THEFT,False,False,1411,14.0,35.0,21.0,06,1154885.0,1918791.0,2018,41.932977759,-87.706225585
102XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,False,True,511,5.0,9.0,49.0,14,1176092.0,1837146.0,2016,41.70848468,-87.63074561799999
035XX W FIFTH AVE,0486,BATTERY,False,True,1133,11.0,28.0,27.0,08B,1152827.0,1898036.0,2018,41.876065157,-87.71433897200001
048XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,False,False,224,2.0,3.0,38.0,14,1179678.0,1873000.0,2002,41.806790948,-87.616519469
100XX W OHARE ST,0890,THEFT,False,False,1651,16.0,41.0,76.0,06,1100658.0,1934241.0,2006,41.976290414,-87.905227221
063XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,False,True,312,3.0,20.0,69.0,08B,1180013.0,1862919.0,2012,41.779120086,-87.615599494
030XX N BROADWAY,0860,THEFT,True,False,1934,19.0,44.0,6.0,06,1171724.0,1920381.0,2019,41.936986127,-87.644297045
047XX N SHERIDAN RD,0560,ASSAULT,False,False,1914,19.0,46.0,3.0,08A,1168772.0,1931858.0,2012,41.968544048000005,-87.65481205200001
008XX N WASHTENAW AVE,0810,THEFT,False,False,1211,12.0,26.0,24.0,06,1158243.0,1905419.0,2014,41.896215883,-87.694251368
012XX E 53RD ST,1330,CRIMINAL TRESPASS,False,False,2131,2.0,4.0,41.0,26,1185289.0,1870377.0,2005,41.799462979,-87.596022926
040XX W MONROE ST,2027,NARCOTICS,True,False,1115,11.0,28.0,26.0,18,1149567.0,1899357.0,2008,41.879754021,-87.726274337
040XX W GRAND AVE,1506,PROSTITUTION,True,False,2534,25.0,27.0,23.0,16,1149433.0,1908993.0,2004,41.906198822,-87.726516137
016XX S WABASH AVE,0820,THEFT,False,False,132,1.0,2.0,33.0,06,1177029.0,1892269.0,2007,41.859726816999995,-87.625652845
076XX S STEWART AVE,0486,BATTERY,True,True,621,6.0,17.0,69.0,08B,1174951.0,1854216.0,2006,41.755352491,-87.63441642299999
001XX W 107TH ST,0560,ASSAULT,False,False,512,5.0,34.0,49.0,08A,1177377.0,1834005.0,2009,41.699836467,-87.626134333
015XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,True,False,1231,12.0,2.0,28.0,14,1166207.0,1894783.0,2003,41.866863357,-87.66530528700001
100XX S MAPLEWOOD AVE,1310,CRIMINAL DAMAGE,False,False,2211,22.0,19.0,72.0,14,1161145.0,1837834.0,2004,41.710694296,-87.685463917
008XX W FOSTER DR,0460,BATTERY,False,False,2023,20.0,48.0,77.0,08B,1169836.0,1934775.0,2008,41.976525184,-87.650814346
