class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,-9.21,-0.82,4.04,599.2,401.53,12.71,91.29,75.83,3.75,8.31,14.75,-2.07,7.49,26.49,82.16,26.49,82.18,173.44,82.18,-2.68,1.29,1.56,-1.98,-2.28
class-00000001,-11.08,-0.84,9.02,685.68,453.96,9.27,79.89,68.03,1.01,5.12,11.26,-1.65,4.24,19.6,70.9,19.6,70.92,157.59,70.92,-1.99,-1.13,-0.67,-1.82,-3.07
class-00000001,-10.37,0.39,4.67,604.3,402.93,11.02,90.64,76.33,4.34,7.48,15.9,-1.95,5.1,23.12,80.89,23.12,80.91,175.59,80.91,-3.94,1.9,2.2,-1.74,-1.97
class-00000001,-8.59,2.84,2.58,525.6,360.85,10.19,85.25,72.4,6.22,9.45,19.01,-2.21,5.29,21.52,75.77,21.52,75.79,167.48,75.79,-3.16,3.57,3.87,-1.63,-3.67
class-00000001,-9.53,-1.68,5.41,666.03,438.4,17.25,109.36,88.52,3.18,9.32,13.47,-1.71,10.87,35.57,99.73,35.57,99.75,199.5,99.75,-2.32,0.86,1.15,-1.78,-0.55
class-00000001,-9.94,-1.83,11.36,827.39,526.26,14.5,99.51,81.4,1.8,7.41,11.77,-1.59,8.26,30.06,90.21,30.06,90.23,184.52,90.23,-2.17,-0.41,0.04,-1.78,-1.98
class-00000001,-11.01,-0.75,17.08,767.86,502.59,7.15,74.08,64.28,2.25,5,13.63,-1.96,2.15,15.44,65.01,15.44,65.03,150.39,65.03,-3.38,-0.12,0.25,-2.02,-3.41
class-00000001,-10.49,0.5,5.69,545.13,385.71,12.57,93.95,78.29,3.91,8.11,15.71,-2.24,6.89,26.3,84.37,26.3,84.39,179.38,84.4,-3.17,1.4,1.69,-2.05,-1.78
class-00000001,-9.16,-0.88,22.96,680.37,468.9,10.58,84.37,71.26,1.38,5.85,11.51,-1.56,5.64,22.3,75.24,22.3,75.26,164.53,75.26,-2.41,-0.56,-0.26,-1.79,-2.45
class-00000001,-9.88,2.21,0.63,406.78,280.54,12.29,94.48,79.09,5.62,9.43,18.25,-2.04,6.5,25.61,84.63,25.61,84.66,181.32,84.66,-3.81,2.99,3.26,-1.63,-2.43
