class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00075001,-10.43,0.36,1.56,513.45,344.57,10.26,89.63,75.97,3.73,6.75,15.61,-1.83,4.07,21.54,79.68,21.54,79.7,175.16,79.7,-4.32,1.29,1.6,-1.77,-2.19
class-00075001,-8.31,1.17,0.8,373.89,264.43,20.69,120.52,96.45,5.4,12.75,17.84,-2.11,14.25,42.42,110.66,42.42,110.68,216.04,110.68,-2.26,2.81,3.05,-1.68,-0.48
class-00075001,-9.71,-0.68,5.27,595.91,404.77,15.91,104.82,85.53,3.2,8.95,14.2,-1.74,9.71,32.9,95.22,32.9,95.24,193.64,95.24,-2.74,0.89,1.2,-1.79,-0.92
class-00075001,-9.06,-1.3,8.39,731.18,480.5,12.57,92.27,76.69,2.17,6.82,12.01,-1.67,7.02,26.2,82.98,26.2,83,175.35,83,-2.11,0,0.3,-1.83,-1.77
class-00075001,-10.02,-1.54,4.66,726.72,471.62,13.6,95.23,78.56,0.94,6.59,10.9,-1.51,7.73,28.23,86.01,28.23,86.03,178.97,86.03,-1.67,-1.17,-0.72,-1.76,-1.84
class-00075001,-10.01,-1.55,6.98,742.12,483.1,13.79,96.15,79.24,2,7.25,12.17,-1.72,7.93,28.67,86.89,28.67,86.91,180.48,86.91,-2.37,-0.2,0.15,-1.83,-1.71
class-00075001,-10.02,-1.54,4.66,726.72,471.62,13.6,95.23,78.56,0.94,6.59,10.9,-1.51,7.73,28.23,86.01,28.23,86.03,178.97,86.03,-1.67,-1.17,-0.72,-1.76,-1.84
class-00075001,-10.01,-1.55,6.98,742.12,483.1,13.79,96.15,79.24,2,7.25,12.17,-1.72,7.93,28.67,86.89,28.67,86.91,180.48,86.91,-2.37,-0.2,0.15,-1.83,-1.71
class-00075001,-11.12,0.52,1.19,463.76,320.49,11.91,94.02,78.82,4.57,8.16,16.89,-1.93,5.88,24.89,84.13,24.89,84.15,180.84,84.15,-3.97,2.05,2.33,-1.73,-1.72
class-00075001,-9.04,-1,6.59,622.77,418.2,14.34,95.65,78.61,3.24,8.52,13.52,-1.95,9.04,29.77,86.61,29.77,86.63,178.9,86.63,-2.45,0.9,1.19,-1.94,-1.75
class-00075001,-9.59,-0.63,1.67,518.53,350.88,13.98,97.43,80.37,3.55,8.41,14.7,-2.15,8.26,28.99,87.99,28.99,88.01,182.98,88.01,-2.32,1.03,1.28,-2.07,-1.35
class-00075001,-10.47,-1.62,9.92,713.29,470.27,14.76,100.47,82.32,3.05,8.42,14.07,-1.7,8.65,30.65,91.04,30.65,91.06,186.92,91.06,-3.04,0.72,1.02,-1.76,-1.22
class-00075001,-9.3,-1.05,4.3,597.76,403.04,15.71,104.59,85.51,2.71,8.27,12.29,-1.65,9.49,32.45,94.9,32.45,94.92,193.72,94.92,-2.57,0.5,0.82,-1.73,-1.13
class-00075001,-9.99,2.03,6.77,604.14,409.35,15.56,103.8,84.97,5.6,10.69,17.78,-2.13,9.74,32.26,94.12,32.27,94.14,192.8,94.14,-2.91,3.04,3.32,-1.67,-1.37
class-00075001,-10.5,0.17,0.73,419,286.93,11.99,95.94,80.48,3.3,7.09,14.44,-1.74,5.58,24.94,85.8,24.94,85.82,184.48,85.82,-3.75,0.93,1.22,-1.71,-1.87
class-00075001,-9.7,0.09,1.23,460.59,311.24,10.03,84.49,71.78,1.84,5.85,12.63,-1.7,4.66,20.98,75.1,20.98,75.12,165.75,75.12,-2.64,-0.4,-0.07,-1.87,-2.66
class-00075001,-10.29,-1.07,10.52,639.33,432.54,14.09,99.49,82,2.84,7.95,13.56,-1.66,7.99,29.28,89.85,29.29,89.87,186.64,89.87,-3.02,0.58,0.92,-1.75,-1.44
class-00075001,-9.75,-0.97,1.74,488.35,332.47,14.54,101.91,84,3.17,8.1,13.17,-1.61,8.31,30.06,92.06,30.06,92.08,190.94,92.08,-2.92,0.9,1.11,-1.66,-1.2
class-00075001,-9.24,0.24,5,577.92,392.12,9.76,84.56,71.52,3.21,6.51,14.69,-1.88,3.96,20.59,75.26,20.59,75.28,164.99,75.28,-4.1,0.86,1.21,-1.82,-3.5
class-00075001,-10.09,-1.58,2.95,590.37,395.42,18.78,116.8,94.09,3.94,10.46,15.07,-1.8,11.92,38.63,106.77,38.64,106.79,211.38,106.79,-2.64,1.53,1.73,-1.73,-0.13
class-00075001,-9.24,0.24,3.68,557.56,377.07,9.91,85.87,72.64,2.84,6.32,14.34,-1.83,3.98,20.86,76.42,20.87,76.44,167.47,76.44,-4.02,0.5,0.87,-1.82,-3.3
class-00075001,-9.91,-1.83,6.94,644.33,427.53,15.75,102.38,83.18,2.56,8.42,12.57,-1.7,9.61,32.57,93.19,32.57,93.21,187.96,93.21,-2.24,0.29,0.63,-1.81,-1.32
class-00075001,-9.91,-1.83,6.94,644.33,427.53,15.75,102.38,83.18,2.56,8.42,12.57,-1.7,9.61,32.57,93.19,32.57,93.21,187.96,93.21,-2.24,0.29,0.63,-1.81,-1.32
class-00075001,-10.12,0.44,4.75,503,361.56,21.09,123.05,98.3,4.42,11.92,15.56,-2.09,14.37,43.29,113.04,43.3,113.06,220.04,113.06,-2.45,1.99,2.25,-1.76,-0.3
class-00075001,-10.45,1.01,5.29,561.67,381.1,16.89,110.83,90.12,3.57,9.67,15,-1.8,10.13,34.86,100.82,34.86,100.84,203.52,100.84,-3.35,1.25,1.55,-1.71,-1.14
class-00075001,-10.74,0.34,4.46,523.05,358.66,14.27,100.11,82.6,4.11,8.02,11.27,-1.81,8.3,29.6,90.39,29.6,90.41,188.06,90.42,-3.04,1.83,1.93,-1.59,-1.39
class-00075001,-10.5,0.17,0.73,419,286.93,11.99,95.94,80.48,3.3,7.09,14.44,-1.74,5.58,24.94,85.8,24.94,85.82,184.48,85.82,-3.75,0.93,1.22,-1.71,-1.87
class-00075001,-9.7,0.09,1.23,460.59,311.24,10.03,84.49,71.78,1.84,5.85,12.63,-1.7,4.66,20.98,75.1,20.98,75.12,165.75,75.12,-2.64,-0.4,-0.07,-1.87,-2.66
class-00075001,-10.29,-1.07,10.52,639.33,432.54,14.09,99.49,82,2.84,7.95,13.56,-1.66,7.99,29.28,89.85,29.29,89.87,186.64,89.87,-3.02,0.58,0.92,-1.75,-1.44
class-00075001,-9.75,-0.97,1.74,488.35,332.47,14.54,101.91,84,3.17,8.1,13.17,-1.61,8.31,30.06,92.06,30.06,92.08,190.94,92.08,-2.92,0.9,1.11,-1.66,-1.2
class-00075001,-9.24,0.24,5,577.92,392.12,9.76,84.56,71.52,3.21,6.51,14.69,-1.88,3.96,20.59,75.26,20.59,75.28,164.99,75.28,-4.1,0.86,1.21,-1.82,-3.5
class-00075001,-10.09,-1.58,2.95,590.37,395.42,18.78,116.8,94.09,3.94,10.46,15.07,-1.8,11.92,38.63,106.77,38.64,106.79,211.38,106.79,-2.64,1.53,1.73,-1.73,-0.13
class-00075001,-9.24,0.24,3.68,557.56,377.07,9.91,85.87,72.64,2.84,6.32,14.34,-1.83,3.98,20.86,76.42,20.87,76.44,167.47,76.44,-4.02,0.5,0.87,-1.82,-3.3
class-00075001,-9.91,-1.83,6.94,644.33,427.53,15.75,102.38,83.18,2.56,8.42,12.57,-1.7,9.61,32.57,93.19,32.57,93.21,187.96,93.21,-2.24,0.29,0.63,-1.81,-1.32
class-00075001,-10.12,0.44,4.75,503,361.56,21.09,123.05,98.3,4.42,11.92,15.56,-2.09,14.37,43.29,113.04,43.3,113.06,220.04,113.06,-2.45,1.99,2.25,-1.76,-0.3
class-00075001,-10.45,1.01,5.29,561.67,381.1,16.89,110.83,90.12,3.57,9.67,15,-1.8,10.13,34.86,100.82,34.86,100.84,203.52,100.84,-3.35,1.25,1.55,-1.71,-1.14
class-00075001,-10.74,0.34,4.46,523.05,358.66,14.27,100.11,82.6,4.11,8.02,11.27,-1.81,8.3,29.6,90.39,29.6,90.41,188.06,90.42,-3.04,1.83,1.93,-1.59,-1.39
class-00075001,-10.24,0.05,5.16,529.51,372.68,13.43,100.83,83.7,1.4,6.66,12.28,-1.6,6.83,27.92,90.68,27.92,90.71,190.99,90.71,-2.53,-0.81,-0.37,-1.77,-1.76
class-00075001,-9.91,-0.68,8.07,653.87,434.92,7.83,77.33,66.69,1.65,4.84,12.12,-1.55,2.58,16.72,68.09,16.72,68.11,155.35,68.11,-3.32,-0.5,-0.09,-1.71,-3.22
class-00075001,-8.88,-0.03,3.44,550.27,379.54,23.01,127.23,100.53,5.07,13.24,16.74,-2.1,16.19,47.11,117.55,47.11,117.57,223.74,117.58,-1.95,2.53,2.76,-1.79,0.28
class-00075001,-8.84,-1.05,7.87,697.64,462.25,14.38,97.6,80.07,2.23,7.65,12.25,-2.14,8.63,29.85,88.4,29.85,88.42,181.91,88.42,-2.03,-0.08,0.26,-2.15,-1.77
class-00075001,-10.16,0.09,7.13,658.38,443.43,8.79,81.3,69.68,0.62,3.96,8.78,-1.43,3.35,18.6,71.87,18.6,71.89,161.76,71.89,-1.42,-1.41,-0.93,-1.49,-3.13
class-00075001,-10.13,-0.02,1.71,499.15,335.4,14.03,101.54,83.99,0.8,6.7,11.59,-1.37,7.47,28.98,91.54,28.98,91.56,191.12,91.56,-2.18,-1.34,-0.86,-1.59,-1.68
class-00075001,-9.58,-0.39,2.94,539.01,368.02,14.64,99.07,81.5,3.38,8.57,13.76,-1.81,9.01,30.33,89.64,30.33,89.66,185.36,89.66,-2.78,1.05,1.32,-1.78,-1.34
class-00075001,-8.84,-1.05,7.87,697.64,462.25,14.38,97.6,80.07,2.23,7.65,12.25,-2.14,8.63,29.85,88.4,29.85,88.42,181.91,88.42,-2.03,-0.08,0.26,-2.15,-1.77
class-00075001,-10.16,0.09,7.13,658.38,443.43,8.79,81.3,69.68,0.62,3.96,8.78,-1.43,3.35,18.6,71.87,18.6,71.89,161.76,71.89,-1.42,-1.41,-0.93,-1.49,-3.13
class-00075001,-10.13,-0.02,1.71,499.15,335.4,14.03,101.54,83.99,0.8,6.7,11.59,-1.37,7.47,28.98,91.54,28.98,91.56,191.12,91.56,-2.18,-1.34,-0.86,-1.59,-1.68
class-00075001,-9.58,-0.39,2.94,539.01,368.02,14.64,99.07,81.5,3.38,8.57,13.76,-1.81,9.01,30.33,89.64,30.33,89.66,185.36,89.66,-2.78,1.05,1.32,-1.78,-1.34
class-00075001,-9.17,0.86,2.87,574.37,379.88,4.5,66.48,59.49,2.54,4.04,14.31,-2.01,-0.46,10.01,57.27,10.01,57.29,140.98,57.3,-4.45,0.14,0.49,-2.04,-4.12
class-00075001,-10.5,1.9,2.24,525.26,354.05,13.74,100.57,83.31,4.72,8.92,16.81,-1.97,7.42,28.54,90.57,28.54,90.6,189.92,90.6,-3.66,2.21,2.49,-1.74,-1.36
class-00075001,-10.46,0.22,6.56,683.76,456.35,8.48,81.12,69.66,0.86,4.21,10.47,-1.57,2.9,18.02,71.61,18.02,71.63,161.84,71.63,-2.19,-1.29,-0.81,-1.66,-3.15
class-00075001,-10.44,0.25,6.4,681.37,455.07,7.42,76.31,66.27,-0.83,2.99,8.5,-1.42,2.22,15.82,66.96,15.82,66.98,154.81,66.98,-0.59,-2.92,-2.37,-1.57,-3.57
class-00075001,-10.03,-1.55,5.69,731.84,475.43,13.63,95.4,78.7,1.55,6.83,11.11,-1.62,7.78,28.32,86.17,28.32,86.19,179.31,86.19,-2.07,-0.6,-0.24,-1.79,-1.82
class-00075001,-9.97,-1.56,4.27,734.03,474.95,13.57,95.22,78.57,0.88,6.59,11.09,-1.51,7.69,28.17,86,28.17,86.02,179.01,86.02,-1.63,-1.26,-0.78,-1.78,-1.84
class-00075001,-9.42,-0.07,1.91,511.87,347.9,11.31,88.94,74.7,4.19,7.99,15.87,-2.11,5.83,23.67,79.54,23.67,79.56,171.68,79.56,-3.39,1.66,1.92,-1.97,-2.66
class-00075001,-9.64,-0.18,2.35,525.39,359.25,10.39,85.11,72.01,4.81,7.99,16.69,-2.19,5.26,21.87,75.8,21.87,75.83,166.23,75.83,-3.38,2.22,2.46,-1.94,-2.48
class-00075001,-9.96,-1.54,6.58,732.01,477.19,13.18,92.62,76.61,1.1,6.3,9.88,-1.46,7.56,27.39,83.57,27.39,83.59,174.84,83.59,-1.73,-0.91,-0.51,-1.67,-2.07
class-00075001,-9.56,-0.79,5.65,613.01,413.98,13.85,97.26,80.36,3.35,8.22,14.02,-1.76,8.17,28.79,87.76,28.79,87.78,183.19,87.78,-2.93,1.03,1.31,-1.76,-1.4
class-00075001,-9.54,-0.76,6.83,639.18,430.71,13.43,95.88,79.41,3.71,8.31,14.69,-1.86,7.82,27.98,86.4,27.98,86.42,181.3,86.42,-3.04,1.32,1.6,-1.8,-1.46
class-00075001,-9.85,-0.7,2.02,500.89,341.93,13.09,95.73,79.56,3.81,7.96,13.75,-1.77,7.31,27.19,86.11,27.19,86.13,181.75,86.13,-3.09,1.45,1.64,-1.69,-1.59
class-00075001,-9.69,-0.02,1.02,426.66,297.93,20.21,120.47,96.45,3.78,10.97,14.65,-1.84,13.24,41.42,110.53,41.42,110.55,215.95,110.56,-2.52,1.48,1.55,-1.76,-0.01
class-00075001,-10.3,0.1,2.01,502.53,341.85,13.5,99.07,82.2,3.55,7.93,14.23,-1.82,7.33,28.01,89.16,28.01,89.18,187.54,89.18,-3.23,1.18,1.44,-1.77,-1.53
class-00075001,-10.3,0.1,2.01,502.53,341.85,13.5,99.07,82.2,3.55,7.93,14.23,-1.82,7.33,28.01,89.16,28.01,89.18,187.54,89.18,-3.23,1.18,1.44,-1.77,-1.53
class-00075001,-9.4,-1.04,9.46,650.4,436.97,14.7,99.74,81.87,3.37,8.57,14.12,-1.84,8.91,30.51,90.31,30.51,90.33,186.04,90.33,-2.62,1.02,1.34,-1.85,-1.15
class-00075001,-9.42,0.06,4.8,566.4,386.98,14.05,98.5,81.31,2.99,7.98,13.45,-1.76,8.21,29.17,88.92,29.17,88.94,185.2,88.95,-2.81,0.73,1.04,-1.81,-1.38
class-00075001,-9.14,-0.13,8.68,613.85,417.8,14.63,99.96,82.17,2.3,7.81,12.49,-1.62,8.72,30.35,90.45,30.35,90.48,186.81,90.48,-2.59,0.16,0.55,-1.77,-1.37
class-00075001,-10.43,1.82,2.53,519.01,355.99,15.89,107.38,87.86,4.85,10.27,17.01,-2.01,9.41,32.84,97.37,32.84,97.39,199.02,97.39,-3.55,2.32,2.6,-1.72,-1.62
class-00075001,-9.42,0.06,4.8,566.4,386.98,14.05,98.5,81.31,2.99,7.98,13.45,-1.76,8.21,29.17,88.92,29.17,88.94,185.2,88.95,-2.81,0.73,1.04,-1.81,-1.38
class-00075001,-9.14,-0.13,8.68,613.85,417.8,14.63,99.96,82.17,2.3,7.81,12.49,-1.62,8.72,30.35,90.45,30.35,90.48,186.81,90.48,-2.59,0.16,0.55,-1.77,-1.37
class-00075001,-10.43,1.82,2.53,519.01,355.99,15.89,107.38,87.86,4.85,10.27,17.01,-2.01,9.41,32.84,97.37,32.84,97.39,199.02,97.39,-3.55,2.32,2.6,-1.72,-1.62
class-00075001,-10.14,-1.08,2.77,618.95,407.15,13.78,100.47,83.04,1.27,6.72,11.77,-1.42,7.22,28.53,90.58,28.54,90.6,188.96,90.6,-2.42,-0.88,-0.44,-1.63,-1.63
class-00075001,-9.21,0.44,15.1,670.15,452.3,8.04,74.39,64.14,1.14,4.51,10.49,-1.94,3.45,17.19,65.6,17.19,65.62,149.69,65.62,-1.91,-1.01,-0.59,-2.01,-3.48
class-00075001,-9.47,0.42,9.7,666.54,447.66,9.31,78.98,67.26,-0.45,4.12,8.77,-1.71,4.44,19.67,70.13,19.67,70.15,155.87,70.15,-0.43,-2.47,-1.88,-1.93,-3.17
class-00075001,-9.14,-0.68,5.63,593.67,399.94,13.58,93.38,77.17,2.49,7.66,12.34,-1.72,8.35,28.21,84.3,28.21,84.32,176.05,84.33,-2.33,0.34,0.65,-1.84,-1.84
class-00075001,-9.43,-0.43,4.2,550.13,378.08,12.85,92.51,76.93,4.02,8.31,14.74,-2.07,7.6,26.79,83.22,26.8,83.24,176.07,83.24,-2.87,1.6,1.81,-1.91,-1.81
class-00075001,-9.57,-0.13,8.69,718.12,468.39,7.82,78.8,67.96,2.56,5.16,13.81,-1.86,2.36,16.72,69.36,16.72,69.38,158.26,69.38,-3.59,0.18,0.58,-1.92,-2.91
class-00075001,-9.04,-0.66,8.23,638.73,432.31,7.39,72.28,62.7,3.69,6.27,14.83,-2.01,2.96,15.94,63.5,15.94,63.52,146.87,63.52,-3.66,1.26,1.58,-1.91,-4.02
class-00075001,-9.51,-0.34,1.25,481.24,331.6,12.69,94.59,78.84,2.07,7.01,13.04,-1.67,6.85,26.36,84.95,26.36,84.97,180.33,84.97,-2.67,-0.18,0.07,-1.81,-1.82
class-00075001,-11.9,-1.14,7.72,691.69,463.13,10.99,89.65,75.4,2.55,6.62,14.26,-1.76,5.07,23.13,80.07,23.13,80.09,173.49,80.09,-3.61,0.22,0.61,-1.84,-2.3
class-00075001,-8.87,-0.83,6.42,633.17,427.28,19.36,113.07,90.5,3.23,10.2,12.33,-1.74,13.26,39.79,103.8,39.79,103.82,202.9,103.82,-1.94,1.09,1.13,-1.78,-0.25
class-00075001,-9.12,0.67,2.97,567.62,384.2,14.66,98.44,80.87,1.53,7.02,10.15,-1.84,8.96,30.31,89.14,30.31,89.16,183.76,89.16,-1.6,-0.55,-0.17,-1.98,-1.57
class-00075001,-11.13,0.05,9.06,709.58,463.13,11.78,93.91,78.66,0.22,5.57,11.48,-1.5,5.5,24.57,84.04,24.57,84.06,180.32,84.06,-2.06,-1.96,-1.39,-1.69,-2.29
class-00075001,-8.6,-0.17,3.02,538.57,367.77,21.59,125.68,100.03,3.46,11.31,14.05,-1.81,14.32,44.21,115.64,44.21,115.66,223.21,115.66,-2.43,1.17,1.45,-1.8,-0.16
class-00075001,-10.49,-1.65,8.59,731.31,474.61,15.18,102.76,83.99,1.18,7.34,11.41,-1.29,8.75,31.4,93.22,31.4,93.24,190.22,93.24,-2.04,-0.9,-0.43,-1.61,-1.22
class-00075001,-10.4,-1.65,7.33,640.76,425.28,15.13,102.63,83.92,1.39,7.44,11.63,-1.31,8.72,31.3,93.09,31.31,93.11,190.11,93.11,-2.2,-0.7,-0.26,-1.61,-1.2
class-00075001,-9.07,-0.27,2.09,520.97,357.81,21.24,123.22,98.11,4.33,11.87,15.76,-2.04,14.34,43.53,113.36,43.53,113.38,219.06,113.38,-1.93,1.84,2,-1.89,0.36
class-00075001,-9.96,2,2.82,537.83,369.58,13.84,98.57,81.54,5.69,10.12,18.16,-2.11,8.09,28.79,88.86,28.79,88.89,185.99,88.89,-3.3,3.1,3.39,-1.65,-1.94
class-00075001,-10.87,0.47,4.69,572.55,391.19,12.44,94.63,78.97,4.49,8.22,15.76,-1.95,6.61,26,84.9,26,84.92,180.91,84.92,-3.56,2.07,2.32,-1.72,-1.61
class-00075001,-9.7,2.23,2.19,509.57,351.61,15.08,101.07,83.04,6,11.06,18.55,-2.13,9.63,31.27,91.5,31.27,91.52,188.8,91.52,-2.72,3.38,3.67,-1.6,-1.83
class-00075001,-10.77,0.55,3.87,560.48,382.67,11.77,92.51,77.54,4.46,7.95,15.93,-1.96,5.98,24.65,82.78,24.65,82.8,178.05,82.8,-3.65,2.02,2.29,-1.73,-1.78
class-00075001,-9.96,2,2.82,537.83,369.58,13.84,98.57,81.54,5.69,10.12,18.16,-2.11,8.09,28.79,88.86,28.79,88.89,185.99,88.89,-3.3,3.1,3.39,-1.65,-1.94
class-00075001,-10.87,0.47,4.69,572.55,391.19,12.44,94.63,78.97,4.49,8.22,15.76,-1.95,6.61,26,84.9,26,84.92,180.91,84.92,-3.56,2.07,2.32,-1.72,-1.61
class-00075001,-9.7,2.23,2.19,509.57,351.61,15.08,101.07,83.04,6,11.06,18.55,-2.13,9.63,31.27,91.5,31.27,91.52,188.8,91.52,-2.72,3.38,3.67,-1.6,-1.83
class-00075001,-10.77,0.55,3.87,560.48,382.67,11.77,92.51,77.54,4.46,7.95,15.93,-1.96,5.98,24.65,82.78,24.65,82.8,178.05,82.8,-3.65,2.02,2.29,-1.73,-1.78
class-00075001,-10.49,0.28,0.94,456.3,307.62,11.05,92.23,77.82,3.33,6.87,15.1,-1.76,4.78,23.05,82.22,23.05,82.25,178.89,82.25,-4.05,0.88,1.18,-1.75,-2.05
class-00075001,-9.32,0.06,3.32,561.88,382.02,13.81,96.11,79.36,2.94,7.73,12.67,-2.08,8.26,28.67,86.76,28.67,86.78,180.86,86.79,-2.27,0.6,0.84,-2.06,-1.56
class-00075001,-10.38,-1.16,4.77,580.1,393.76,14.04,98.8,81.38,1.25,6.51,9.73,-1.58,7.91,29.08,89.27,29.08,89.29,184.98,89.29,-1.12,-0.85,-0.35,-1.75,-1.65
class-00075001,-10.09,-1.58,8.62,757.94,490.71,15.14,102.92,84.16,1.2,7.22,10.87,-1.2,8.68,31.33,93.35,31.33,93.37,190.66,93.37,-2.13,-0.78,-0.35,-1.54,-1.27
class-00075001,-9.23,-0.04,8.25,665.17,445.85,12.86,94.67,78.71,1.67,6.66,11.88,-1.62,7.07,26.79,85.13,26.79,85.15,179.95,85.15,-2.33,-0.46,0.02,-1.81,-1.83
class-00075001,-10.38,0.12,0.86,436.63,300.56,13.11,99.14,82.54,4.19,8.18,15.74,-1.84,6.73,27.22,89.04,27.22,89.06,188.57,89.06,-3.76,1.75,2,-1.71,-1.48
class-00075001,-10.55,-0.21,2.77,527.58,363.69,14.27,101.84,84.09,-0.07,6.06,9.2,-1.16,7.78,29.49,91.9,29.49,91.92,191.27,91.93,-1.18,-2.03,-1.43,-1.48,-1.78
class-00075001,-9.32,0.06,3.32,561.88,382.02,13.81,96.11,79.36,2.94,7.73,12.67,-2.08,8.26,28.67,86.76,28.67,86.78,180.86,86.79,-2.27,0.6,0.84,-2.06,-1.56
class-00075001,-10.38,-1.16,4.77,580.1,393.76,14.04,98.8,81.38,1.25,6.51,9.73,-1.58,7.91,29.08,89.27,29.08,89.29,184.98,89.29,-1.12,-0.85,-0.35,-1.75,-1.65
class-00075001,-10.09,-1.58,8.62,757.94,490.71,15.14,102.92,84.16,1.2,7.22,10.87,-1.2,8.68,31.33,93.35,31.33,93.37,190.66,93.37,-2.13,-0.78,-0.35,-1.54,-1.27
class-00075001,-9.23,-0.04,8.25,665.17,445.85,12.86,94.67,78.71,1.67,6.66,11.88,-1.62,7.07,26.79,85.13,26.79,85.15,179.95,85.15,-2.33,-0.46,0.02,-1.81,-1.83
class-00075001,-10.38,0.12,0.86,436.63,300.56,13.11,99.14,82.54,4.19,8.18,15.74,-1.84,6.73,27.22,89.04,27.22,89.06,188.57,89.06,-3.76,1.75,2,-1.71,-1.48
class-00075001,-10.55,-0.21,2.77,527.58,363.69,14.27,101.84,84.09,-0.07,6.06,9.2,-1.16,7.78,29.49,91.9,29.49,91.92,191.27,91.93,-1.18,-2.03,-1.43,-1.48,-1.78
class-00075001,-9.29,-0.17,7.77,615.63,418.32,15.49,102.44,83.65,2.84,8.69,13.55,-1.77,9.41,32.07,93.02,32.07,93.04,189.55,93.04,-2.86,0.57,0.95,-1.82,-1.69
class-00075001,-9.09,0.3,1.69,507.1,347.21,9.78,86.41,73.29,2.87,6.33,14.61,-1.85,3.79,20.59,76.77,20.59,76.8,169.12,76.8,-4.09,0.47,0.84,-1.85,-3.46
class-00075001,-9.34,-0.44,8.86,588.53,408.45,10.67,87.11,73.41,3.1,7.1,14.95,-1.91,5.03,22.49,77.74,22.49,77.76,169.21,77.76,-3.9,0.74,1.09,-1.91,-3.06
class-00075001,-10.29,0.19,2.48,515.3,360.14,13.17,98.11,81.56,4.78,8.63,16.14,-2.01,7.13,27.46,88.19,27.46,88.21,186.44,88.21,-3.44,2.3,2.56,-1.74,-1.45
class-00075001,-10.88,0.6,4.2,552.61,387.14,12.65,94.58,78.86,4.96,8.78,16.71,-2.06,7.05,26.45,84.91,26.45,84.93,180.7,84.93,-3.37,2.47,2.74,-1.74,-1.58
class-00075001,-10.88,0.6,4.2,552.61,387.14,12.65,94.58,78.86,4.96,8.78,16.71,-2.06,7.05,26.45,84.91,26.45,84.93,180.7,84.93,-3.37,2.47,2.74,-1.74,-1.58
class-00075001,-11.76,-1.42,5.54,569.72,384.69,22.9,133.89,106.15,2.73,10.89,11.48,-1,14.77,46.9,123.35,46.9,123.37,236.25,123.37,-4.3,1.26,0.89,-1.4,0.12
class-00075001,-10.97,0.3,3.14,619.62,411.16,12.36,95.94,80.11,2.74,6.97,13.78,-1.71,6.07,25.75,86.02,25.75,86.04,183.35,86.04,-3.35,0.45,0.81,-1.74,-1.79
class-00075001,-9.93,2.02,2.6,511.46,360.85,13.43,97.18,80.66,5.73,9.87,18.18,-2.15,7.82,28.01,87.47,28.01,87.49,184.36,87.49,-3.16,3.13,3.42,-1.69,-1.84
class-00075001,-10.49,0.42,6.15,577.25,396.2,13.94,98.98,81.81,4.63,9.06,16.15,-1.99,8.11,29.03,89.28,29.03,89.3,186.58,89.3,-3.24,2.19,2.45,-1.72,-1.25
class-00075001,-8.91,0.26,5.73,580.58,391.84,7.48,73.68,63.88,4.77,7.05,16.65,-2.15,3,16.09,64.73,16.09,64.75,149.43,64.76,-3.69,2.24,2.51,-1.9,-3.66
class-00075001,-10.5,0.99,2.04,530.56,354.92,12.36,93.99,78.38,4.82,8.5,17.2,-2.32,6.45,25.79,84.35,25.79,84.38,179.41,84.38,-3.6,2.2,2.41,-2.07,-1.64
class-00075001,-10.29,0.65,1.75,484.37,327.85,7.21,75.78,65.95,2.58,5.19,14.09,-1.88,1.99,15.41,66.4,15.41,66.42,154.21,66.42,-3.92,0.21,0.54,-1.92,-3.43
class-00075001,-10.31,0.43,3.92,592.64,400.77,11.69,92.46,77.53,4.7,8.06,16.46,-2.02,5.87,24.5,82.72,24.51,82.74,178.05,82.74,-3.7,2.22,2.51,-1.75,-1.77
class-00075001,-11.08,0.5,1.2,464.95,321.36,11.78,93.62,78.54,4.56,8.09,16.92,-1.92,5.74,24.62,83.73,24.62,83.75,180.28,83.75,-4.03,2.04,2.33,-1.74,-1.76
class-00075001,-9.03,0.34,9.76,624.29,424.05,13.35,98.41,81.54,3.53,8.11,15.06,-1.9,7.13,27.84,88.61,27.84,88.63,186.08,88.63,-3.64,1.17,1.5,-1.8,-2
class-00075001,-10.04,0.48,6.16,630.38,421.4,10.64,88.81,74.96,5.06,7.94,17.28,-2.07,4.93,22.44,79.15,22.44,79.17,172.77,79.17,-3.99,2.54,2.84,-1.77,-2
class-00075001,-10.67,1.87,0.72,408.31,277.7,14.78,105.26,86.82,4.12,8.92,16.14,-1.84,8.1,30.52,95.02,30.52,95.05,197.29,95.05,-3.6,1.62,1.88,-1.73,-1.16
class-00075001,-9.16,0,24.18,700.64,476.12,9.65,85.41,72.46,2.37,5.69,12.62,-1.82,3.87,20.47,75.87,20.47,75.89,167.48,75.89,-3.42,0.14,0.54,-1.82,-3.21
class-00075001,-10.33,0.31,8.14,641.4,431.19,11.32,91.81,77.14,4.73,7.86,16.5,-2.03,5.42,23.8,82.02,23.8,82.04,177.34,82.04,-3.85,2.27,2.57,-1.77,-1.83
class-00075001,-9.13,-0.74,6.58,613.77,414.5,14.79,98.13,80.43,3.27,8.37,12.59,-2.13,9.37,30.69,88.96,30.69,88.98,182.69,88.98,-1.9,0.86,1.1,-2.07,-1.28
class-00075001,-10.94,0.03,3.93,599.4,405.24,13.57,100.14,82.95,3.17,7.81,14.47,-1.81,7.15,28.24,90.18,28.25,90.2,189.18,90.2,-3.4,0.83,1.16,-1.8,-1.53
