class,id,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,00000001_00025000_10158,-11.31,0.47,1.41,477.31,330.46,12.65,96.13,80.21,4.51,8.43,16.53,-1.91,6.63,26.36,86.25,26.36,86.27,183.62,86.27,-3.76,2.03,2.29,-1.72,-1.56
class-00000001,00000001_00025000_10159,-10.44,0.43,2.5,536.1,372.39,12.12,93.86,78.57,4.7,8.19,16.06,-2.01,6.33,25.34,84.07,25.34,84.09,180.25,84.09,-3.5,2.24,2.5,-1.72,-1.72
class-00000001,00000001_00025000_10167,-9.41,0.1,0.46,349.81,238.82,16.7,109.22,89.14,4.29,10.17,16.16,-2.27,10.26,34.33,99.22,34.33,99.24,201.53,99.24,-3.09,1.68,1.8,-2.02,-1.41
class-00000001,00000001_00025000_10170,-10.63,0.41,2.2,522.47,362.18,11.32,92.17,77.59,4.2,7.44,15.46,-1.94,5.38,23.71,82.28,23.71,82.3,178.41,82.3,-3.74,1.78,2.06,-1.74,-1.94
class-00000001,00000001_00025000_10178,-9.31,-1.65,5.34,786.46,513.72,18.04,112.17,90.23,0.59,7.28,7.31,-1.21,11.15,37.02,102.61,37.02,102.63,202.41,102.63,-1.52,-0.6,-0.84,-1.71,-0.56
class-00000001,00000001_00025000_10181,-9.49,2.81,1.26,450.8,310.44,14.67,100.34,82.67,4.86,9.76,16.52,-1.8,8.91,30.33,90.71,30.33,90.73,188.01,90.74,-3.24,2.72,2.9,-1.49,-1.26
class-00000001,00000001_00025000_10183,-10.07,1.34,1.29,447.45,305.34,17.68,113.21,91.87,3.88,10.05,14.9,-1.77,10.94,36.33,103.12,36.33,103.14,207.1,103.14,-3.16,1.53,1.78,-1.64,-0.9
class-00000001,00000001_00025000_10186,-11.23,0.35,2.11,607.68,399.1,10.59,90.57,76.58,1.11,5.43,12.52,-1.58,4.32,22.13,80.63,22.13,80.65,176.25,80.65,-2.91,-1.18,-0.74,-1.75,-2.36
class-00000001,00000001_00025000_10188,-10.12,-1.65,2.08,587.69,389.1,17.89,115.02,93.13,1.5,8.34,11.17,-1.12,10.74,36.71,104.86,36.71,104.88,209.53,104.88,-2.1,-0.49,-0.13,-1.49,-0.59
class-00000001,00000001_00025000_10189,-10.38,0.33,1.66,512.24,345.43,11.2,92.02,77.49,3.98,7.29,15.59,-1.85,5.09,23.4,82.12,23.4,82.14,178.11,82.14,-4,1.53,1.83,-1.72,-1.95
class-00000001,00000001_00025000_10190,-10.96,-0.74,4.3,535.88,363.69,11.01,88.55,74.42,1.21,5.97,11.93,-1.96,5.17,23.01,79.13,23.01,79.15,170.97,79.15,-2.59,-1.08,-0.63,-2.04,-3.09
class-00000001,00000001_00025000_10192,-10.72,0.57,3.55,605.48,402.93,17.67,113.5,91.99,2.55,9.17,13.06,-1.32,10.75,36.34,103.43,36.34,103.45,207.25,103.45,-3.01,0.62,0.86,-1.51,-0.87
class-00000001,00000001_00025000_10198,-11.14,-2.41,3.38,590.5,390.36,20.19,123.83,99.06,2.07,8.77,8.61,-0.4,12.31,41.33,113.55,41.34,113.57,221.36,113.57,-4.59,0.9,0.74,-1.12,-0.24
class-00000001,00000001_00025000_10203,-10.88,-0.9,5.1,541.94,370.6,15.48,105.61,86.38,1.47,7.67,12.17,-1.46,8.81,31.98,95.76,31.98,95.78,195.59,95.78,-2.33,-0.76,-0.29,-1.69,-1.22
class-00000001,00000001_00025000_10204,-9.56,-0.1,3.72,540.8,369.86,12.79,92.51,76.69,2.96,7.62,13.54,-2.16,7.22,26.65,83.32,26.65,83.34,175.19,83.34,-2.63,0.54,0.82,-2.12,-2.38
class-00000001,00000001_00025000_10209,-10.84,0.3,7.29,633.36,424.81,13.29,98.67,81.79,1.84,6.99,12.76,-1.62,6.87,27.65,88.83,27.65,88.85,186.56,88.85,-2.99,-0.39,0.06,-1.74,-1.9
class-00000001,00000001_00025000_10210,-9.13,-0.35,6.54,601.1,412.96,20.46,122.17,97.44,3.47,10.95,14.76,-2.02,13.22,42.01,112.23,42.02,112.25,217.73,112.25,-2.4,1.18,1.29,-1.97,0.04
class-00000001,00000001_00025000_10216,-9.1,2.86,6.57,594.52,407.36,17.43,107.31,86.94,6.02,11.89,18.57,-2.1,11.94,36,97.9,36,97.92,196.31,97.93,-2.3,3.48,3.75,-1.56,-0.53
class-00000001,00000001_00025000_10219,-10.58,-1.75,8.34,634.63,426.09,16.94,109.51,88.72,1.5,8.02,10.97,-1.19,10.18,34.93,99.8,34.93,99.82,199.94,99.82,-2.22,-0.45,-0.04,-1.54,-0.84
class-00000001,00000001_00025000_10222,-10.35,0.44,6.33,633.94,421.52,11.27,90.84,76.34,4.54,7.73,15.96,-1.99,5.47,23.65,81.17,23.65,81.19,175.5,81.19,-3.78,2.1,2.39,-1.73,-1.9
class-00000001,00000001_00025000_10223,-9.2,-0.89,8.18,637.41,428.22,15.7,102.84,83.94,2.88,8.53,12.86,-1.73,9.8,32.49,93.41,32.49,93.43,190.12,93.43,-2.33,0.64,0.97,-1.83,-1.01
class-00000001,00000001_00025000_10298,-8.86,-0.16,41.81,787.73,531.74,12.84,96.36,80.08,0.55,5.92,10.47,-1.51,6.7,26.8,86.62,26.81,86.64,183.03,86.64,-1.55,-1.35,-0.9,-1.8,-1.72
class-00000001,00000001_00025000_10302,-11.18,0.41,0.82,421.47,289.55,12.48,96.38,80.57,3.74,7.81,15.55,-1.76,6.28,25.96,86.39,25.96,86.41,184.46,86.41,-3.79,1.31,1.58,-1.71,-1.66
class-00000001,00000001_00025000_10318,-9.05,0.49,2.89,526.13,372.14,22.19,126.79,100.74,5.36,12.97,17.29,-2.17,15.3,45.5,116.78,45.5,116.8,224.79,116.81,-2.01,2.84,2.99,-1.78,0.56
class-00000001,00000001_00025000_10320,-10.42,-0.13,0.79,432.06,290.5,19.21,119.07,96,2.23,8.29,7.84,-0.68,11.91,39.22,108.85,39.23,108.87,215.31,108.87,-3.38,0.62,0.49,-1.19,-0.51
class-00000001,00000001_00025000_10322,-9.7,0.8,1.49,550.66,363.9,6.76,77.63,67.81,1.05,3.89,12.92,-1.72,0.94,14.45,67.83,14.45,67.85,158.54,67.85,-3.6,-1.36,-0.95,-1.87,-3.32
class-00000001,00000001_00025000_10323,-9.37,-0.15,0.8,410.86,283.12,27.39,146.27,114.25,4.66,14.46,15.99,-1.99,19.27,55.71,135.86,55.71,135.88,252.03,135.88,-1.28,2.18,2.14,-1.79,1.02
class-00000001,00000001_00025000_10324,-10.37,-1.22,2.75,513.59,350.14,13.45,95.3,78.74,1.01,6.28,9.55,-1.37,7.54,27.84,86,27.84,86.02,179.31,86.02,-1.33,-1.01,-0.49,-1.62,-2.01
class-00000001,00000001_00025000_10331,-10.47,0.35,2,534.87,360.2,10.28,89.5,75.84,4.07,6.97,16.01,-1.89,4.15,21.6,79.58,21.6,79.6,174.88,79.6,-4.33,1.62,1.93,-1.77,-2.15
class-00000001,00000001_00025000_10333,-10.51,0.09,4.03,647.76,427.78,12.63,97.12,80.93,1.28,6.28,12.06,-1.55,6.19,26.27,87.17,26.27,87.19,184.99,87.19,-2.59,-0.91,-0.44,-1.7,-1.95
class-00000001,00000001_00025000_10340,-9.2,-0.35,2.15,513.31,354.56,23.76,131.59,103.77,4.65,13.11,16.1,-2.07,16.52,48.56,121.66,48.56,121.68,230.46,121.69,-1.66,2.14,2.25,-1.85,0.73
class-00000001,00000001_00025000_10341,-8.58,-0.12,2.76,565.19,380.82,23.61,133.68,105.62,3.67,12.03,14.25,-1.98,15.88,48.24,123.43,48.24,123.45,234.62,123.45,-1.91,1.3,1.56,-1.94,0.53
class-00000001,00000001_00025000_10342,-10.13,0.16,1.7,524.83,352.2,13.45,99.82,82.84,4.32,8.57,16.5,-1.91,7.09,27.94,89.81,27.94,89.83,189,89.83,-3.68,1.8,2.08,-1.78,-1.35
class-00000001,00000001_00025000_10346,-9.21,-0.82,4.04,599.2,401.53,12.71,91.29,75.83,3.75,8.31,14.75,-2.07,7.49,26.49,82.16,26.49,82.18,173.44,82.18,-2.68,1.29,1.56,-1.98,-2.28
class-00000001,00000001_00025000_10350,-11.08,-0.84,9.02,685.68,453.96,9.27,79.89,68.03,1.01,5.12,11.26,-1.65,4.24,19.6,70.9,19.6,70.92,157.59,70.92,-1.99,-1.13,-0.67,-1.82,-3.07
class-00000001,00000001_00025000_10351,-10.37,0.39,4.67,604.3,402.93,11.02,90.64,76.33,4.34,7.48,15.9,-1.95,5.1,23.12,80.89,23.12,80.91,175.59,80.91,-3.94,1.9,2.2,-1.74,-1.97
class-00000001,00000001_00025000_10352,-8.59,2.84,2.58,525.6,360.85,10.19,85.25,72.4,6.22,9.45,19.01,-2.21,5.29,21.52,75.77,21.52,75.79,167.48,75.79,-3.16,3.57,3.87,-1.63,-3.67
class-00000001,00000001_00025000_10359,-9.53,-1.68,5.41,666.03,438.4,17.25,109.36,88.52,3.18,9.32,13.47,-1.71,10.87,35.57,99.73,35.57,99.75,199.5,99.75,-2.32,0.86,1.15,-1.78,-0.55
class-00000001,00000001_00025000_10360,-9.94,-1.83,11.36,827.39,526.26,14.5,99.51,81.4,1.8,7.41,11.77,-1.59,8.26,30.06,90.21,30.06,90.23,184.52,90.23,-2.17,-0.41,0.04,-1.78,-1.98
class-00000001,00000001_00025000_10367,-11.01,-0.75,17.08,767.86,502.59,7.15,74.08,64.28,2.25,5,13.63,-1.96,2.15,15.44,65.01,15.44,65.03,150.39,65.03,-3.38,-0.12,0.25,-2.02,-3.41
class-00000001,00000001_00025000_10416,-10.49,0.5,5.69,545.13,385.71,12.57,93.95,78.29,3.91,8.11,15.71,-2.24,6.89,26.3,84.37,26.3,84.39,179.38,84.4,-3.17,1.4,1.69,-2.05,-1.78
class-00000001,00000001_00025000_10420,-9.16,-0.88,22.96,680.37,468.9,10.58,84.37,71.26,1.38,5.85,11.51,-1.56,5.64,22.3,75.24,22.3,75.26,164.53,75.26,-2.41,-0.56,-0.26,-1.79,-2.45
class-00000001,00000001_00025000_10421,-9.88,2.21,0.63,406.78,280.54,12.29,94.48,79.09,5.62,9.43,18.25,-2.04,6.5,25.61,84.63,25.61,84.66,181.32,84.66,-3.81,2.99,3.26,-1.63,-2.43
class-00000001,00000001_00025000_10436,-9.96,-0.11,2.08,566.7,385.96,13.83,100.53,83.15,3.91,8.28,15.2,-2.07,7.52,28.74,90.6,28.74,90.62,189.5,90.62,-3.34,1.44,1.68,-1.9,-1.38
class-00000001,00000001_00025000_10438,-10.43,-0.85,0.34,352.58,238.94,25.47,140.72,110.83,4.83,13.85,16.84,-1.87,17.57,51.85,130.17,51.85,130.19,245.6,130.2,-1.91,2.29,2.32,-1.63,0.88
class-00000001,00000001_00025000_10439,-10.06,-0.1,0.87,507.68,341.13,13.16,99.06,82.38,1.91,6.8,13.01,-1.86,6.69,27.27,89.02,27.27,89.05,188,89.05,-2.76,-0.47,-0.15,-1.92,-1.74
class-00000001,00000001_00025000_10442,-11.49,0.28,7.28,559.6,390.68,13.84,100.26,82.94,3.53,8.24,14.71,-1.79,7.6,28.79,90.37,28.8,90.39,189.1,90.39,-3.55,1.24,1.5,-1.73,-1.45
class-00000001,00000001_00025000_10444,-11.31,0.27,63.38,629.74,440.07,9.31,80.05,68.48,0.89,3.93,4.65,-1.01,4.58,19.64,70.92,19.64,70.94,158.94,70.94,-0.46,-0.62,-0.29,-1,-3.24
class-00000001,00000001_00025000_10445,-11.39,0.48,1.15,455.25,314.37,11.53,93.33,78.48,4.03,7.49,15.55,-1.86,5.44,24.09,83.36,24.09,83.38,180.29,83.39,-3.85,1.59,1.86,-1.73,-1.87
class-00000001,00000001_00025000_10446,-11.65,-1.09,0.63,406.95,278.31,23.74,135.6,107.48,4.33,12.64,15.26,-1.61,15.98,48.46,125.02,48.46,125.04,239.09,125.04,-2.47,2.07,2.07,-1.5,0.66
class-00000001,00000001_00025000_10451,-10.43,0.43,3.34,554.75,386.39,12.28,94.07,78.64,4.88,8.41,16.3,-2.04,6.58,25.69,84.32,25.7,84.34,180.35,84.34,-3.41,2.41,2.67,-1.72,-1.67
class-00000001,00000001_00025000_10453,-9.1,2.7,0.64,391.29,270,5.14,70.12,62.35,5.23,6.02,17.85,-2.1,-0.03,11.29,60.64,11.29,60.66,147.25,60.66,-5.16,2.62,2.88,-1.85,-4.03
class-00000001,00000001_00025000_10457,-11.53,-1.15,0.59,385.59,264.01,24,136.93,108.46,4,12.41,14.34,-1.47,16.07,48.94,126.28,48.94,126.3,241.09,126.3,-2.71,1.84,1.76,-1.45,0.61
class-00000001,00000001_00025000_10462,-10.6,0.42,1.44,492.75,339.77,10.98,91.5,77.23,3.92,7.11,15.22,-1.88,4.94,23,81.56,23,81.58,177.75,81.58,-3.86,1.5,1.8,-1.74,-2.06
class-00000001,00000001_00025000_10464,-10.42,0.45,2.58,534.49,371.55,11.68,92.55,77.7,4.65,7.96,16.01,-2,5.9,24.47,82.76,24.47,82.78,178.51,82.78,-3.59,2.19,2.46,-1.73,-1.85
class-00000001,00000001_00025000_10471,-9.51,0.36,0.47,335.48,226.46,26.48,144.33,113.29,4.26,13.63,14.89,-1.76,18.3,53.81,133.74,53.81,133.76,250.44,133.76,-1.77,1.82,1.91,-1.67,0.89
class-00000001,00000001_00025000_10473,-10.32,1.14,1,408.66,279.65,16.36,110.68,90.49,1.75,8.26,13.09,-1.5,9.33,33.61,100.4,33.61,100.42,204.54,100.42,-2.66,-0.51,-0.09,-1.68,-1.33
class-00000001,00000001_00025000_10475,-10.07,-0.12,1.09,541.55,356.25,13.25,98.78,82.03,1.26,6.61,12.71,-1.87,6.78,27.42,88.85,27.42,88.87,187.02,88.87,-2.46,-1.13,-0.8,-1.97,-1.73
class-00000001,00000001_00025000_10481,-10.05,-1.61,4.09,595.66,401.27,16.33,104.74,84.71,0.52,6.58,5.65,-0.89,9.79,33.6,95.54,33.6,95.56,190.65,95.56,-1.48,-0.7,-0.57,-1.3,-1.29
class-00000001,00000001_00025000_10484,-9.46,-0.63,2.1,572.07,378.77,7.39,78.77,68.31,1.45,4.25,12.4,-1.66,1.65,15.73,69.11,15.74,69.13,159.2,69.13,-3.21,-0.96,-0.52,-1.8,-3.19
class-00000001,00000001_00025000_10485,-9.71,0.83,1.97,581.65,382.93,4.81,71.17,63.35,1.76,3.43,13.74,-1.8,-0.84,10.6,61.45,10.6,61.47,149.52,61.48,-4.53,-0.68,-0.29,-1.9,-3.77
class-00000001,00000001_00025000_10487,-9.73,-0.35,0.88,419.94,287.22,20.22,117.13,93.62,4.32,11.49,15.29,-1.95,13.91,41.38,107.61,41.38,107.64,209.46,107.64,-1.29,1.7,1.98,-1.84,0.19
class-00000001,00000001_00025000_10488,-10.06,1.96,1.05,441.5,299.95,14.46,102.07,84.23,5.15,9.73,17.43,-1.96,8.23,29.91,92.14,29.91,92.16,191.6,92.17,-3.61,2.6,2.86,-1.64,-1.45
class-00000001,00000001_00025000_10494,-9.97,-0.1,1.77,587.31,385.48,12.69,96.56,80.36,2.53,7.05,14.02,-1.94,6.35,26.37,86.73,26.37,86.75,183.57,86.75,-3.22,0.12,0.43,-1.94,-1.75
class-00000001,00000001_00025000_10497,-10.42,1.84,1.65,471.94,322.5,14.96,103.77,85.34,4.86,9.82,17.06,-1.96,8.64,30.95,93.85,30.96,93.87,193.86,93.87,-3.64,2.34,2.62,-1.66,-1.55
class-00000001,00000001_00025000_10498,-10.03,-0.24,1.63,471.02,322.14,17.3,113.58,92.32,2.94,9.28,14.56,-1.59,10.24,35.61,103.34,35.61,103.36,208.24,103.36,-2.92,0.66,0.97,-1.68,-0.61
class-00000001,00000001_00025000_10511,-9.79,-0.67,3.22,540.42,371.19,19.65,117.21,93.81,2.77,9.94,12.53,-1.67,12.86,40.31,107.54,40.31,107.56,210.06,107.56,-2.02,0.62,0.8,-1.8,-0.13
class-00000001,00000001_00025000_10515,-9.91,1.61,1.88,485.68,334.32,16.05,105.17,85.92,4.94,10.3,16.57,-2.01,10.09,33.17,95.49,33.17,95.51,194.67,95.51,-3.02,2.45,2.7,-1.67,-1.14
class-00000001,00000001_00025000_10516,-10.56,-0.09,22.23,976.41,614.35,14.45,102.47,84.37,-0.2,5.94,8.77,-1.1,7.94,29.96,92.58,29.96,92.6,191.73,92.6,-1.06,-1.78,-1.35,-1.56,-1.42
class-00000001,00000001_00025000_10523,-9.87,-0.75,2.96,569.37,384.69,11.82,92.17,77.2,3.5,7.36,14.6,-1.86,6.03,24.69,82.53,24.69,82.55,177.08,82.55,-3.26,1.08,1.39,-1.83,-1.83
class-00000001,00000001_00025000_10524,-9.8,-0.24,3.91,630.49,420.34,15.08,102.47,83.97,1.99,7.56,11.81,-1.8,8.9,31.2,92.84,31.2,92.86,190.44,92.87,-2.03,-0.23,0.14,-1.92,-1.25
class-00000001,00000001_00025000_10525,-8.72,2.82,2.19,509.79,348.29,5.48,69.3,61.37,5.91,6.99,18.63,-2.19,0.77,12.07,60.09,12.07,60.11,144.93,60.11,-4.42,3.28,3.57,-1.73,-4.39
class-00000001,00000001_00025000_10531,-9.86,-0.33,4.6,563.29,380.84,11.35,85.89,72,3.63,7.59,14.26,-2.04,6.49,23.77,76.92,23.77,76.94,165.5,76.94,-2.38,1.17,1.45,-1.97,-2.16
class-00000001,00000001_00025000_10533,-10.15,-0.64,3.22,556.55,378.92,13.16,95.89,79.58,3.87,8.29,15.33,-1.89,7.36,27.39,86.31,27.39,86.33,181.75,86.33,-3.16,1.4,1.7,-1.82,-1.49
class-00000001,00000001_00025000_10536,-8.94,-0.83,4.29,621.15,415.96,17.27,109.82,88.95,2.4,8.74,12.39,-1.77,10.77,35.58,100.13,35.58,100.15,200.47,100.16,-2.11,0.16,0.5,-1.87,-0.72
class-00000001,00000001_00025000_10541,-9.29,-0.88,5.98,620.32,415.92,13.71,97.3,80.38,2.86,7.76,13.41,-1.78,7.88,28.49,87.78,28.49,87.8,183.17,87.8,-2.53,0.55,0.91,-1.86,-1.42
class-00000001,00000001_00025000_10544,-9.86,-0.75,4.29,599.43,405.64,11.99,92.66,77.5,3.91,7.7,15.13,-1.95,6.24,25.07,83.03,25.07,83.05,177.75,83.05,-3.33,1.46,1.76,-1.85,-1.76
class-00000001,00000001_00025000_10545,-10.41,-0.07,5.83,612.73,411.3,13.18,98.07,81.37,3.48,8.02,15.17,-1.9,6.89,27.43,88.24,27.44,88.26,185.73,88.26,-3.63,1.07,1.39,-1.85,-1.88
class-00000001,00000001_00025000_10546,-9.81,-1.86,4.96,647.98,429.1,18.48,115.27,92.75,1.98,8.87,11.56,-1.45,11.49,38,105.41,38,105.43,208.2,105.43,-1.96,-0.15,0.18,-1.68,-0.4
class-00000001,00000001_00025000_10548,-9.12,-0.17,7.94,646.37,429.83,12.98,95.41,79.19,3.54,7.98,14.49,-2.06,7.11,27.05,85.85,27.05,85.87,180.9,85.88,-3.25,1.18,1.44,-1.94,-2.44
class-00000001,00000001_00025000_1057,-9.63,0.58,1.41,539.21,359.13,7.98,77.31,66.85,0.02,3.91,10.32,-1.63,2.89,16.86,68.03,16.86,68.05,155.69,68.06,-1.36,-2.17,-1.67,-1.9,-3.28
class-00000001,00000001_00025000_10582,-9.03,-0.19,9.69,636.85,430.5,19.67,113.93,91.05,4.54,11.8,15.94,-2.05,13.53,40.49,104.69,40.49,104.71,204.17,104.71,-2.47,2.1,2.32,-1.81,-1.48
class-00000001,00000001_00025000_10585,-10.19,-0.64,39.44,808.57,524.04,7.57,76.46,66.03,3.19,5.59,13.9,-1.87,2.44,16.32,67.25,16.32,67.27,154.09,67.27,-4.06,0.92,1.22,-1.8,-3.15
class-00000001,00000001_00025000_10629,-9.11,-0.17,3.81,573.64,389.73,12.86,95.54,79.46,3.59,8.02,14.77,-2.06,6.99,26.8,85.87,26.81,85.89,181.69,85.89,-3.25,1.2,1.45,-1.94,-2.73
class-00000001,00000001_00025000_10630,-9.09,-0.17,6.4,643.28,432.6,10.95,87.33,73.3,3.5,7.31,14.74,-2.07,5.43,23.01,78.09,23.01,78.11,168.53,78.11,-3.5,1.11,1.39,-1.98,-3.27
class-00000001,00000001_00025000_10655,-9.93,-0.07,1.52,553.8,375.17,13.4,99.32,82.38,3.85,8.12,15.52,-2.07,7.08,27.88,89.38,27.88,89.4,187.98,89.4,-3.49,1.36,1.62,-1.93,-1.48
class-00000001,00000001_00025000_10656,-10.85,0.76,2.53,497.96,352.42,19.83,122.1,98.18,3.85,10.98,15.59,-1.98,12.65,40.73,111.72,40.73,111.74,220.27,111.74,-2.78,1.42,1.73,-1.78,-0.5
class-00000001,00000001_00025000_10657,-8.94,2.99,4.07,540.28,385.1,21.1,119.61,95.4,6.06,13.39,18.57,-2.17,15.23,43.38,110.03,43.38,110.05,213.63,110.05,-1.78,3.47,3.74,-1.62,0.24
class-00000001,00000001_00025000_10667,-11.86,-0.09,1.86,463.1,322.5,15.43,105.08,86.23,0.14,6.42,8.34,-1.31,8.96,31.77,95.16,31.77,95.19,195.46,95.19,-0.71,-1.73,-1.22,-1.58,-1.54
class-00000001,00000001_00025000_10670,-10.26,0.87,3.31,509.63,355.36,16.46,110.64,90.29,3.23,9.3,14.77,-1.78,9.54,33.96,100.44,33.96,100.46,204.18,100.46,-3.48,0.91,1.27,-1.74,-1.56
class-00000001,00000001_00025000_10675,-9.82,-0.34,1.72,552.87,372.05,18.66,116.44,93.83,0.79,8.2,10.15,-1.22,11.48,38.21,106.43,38.21,106.46,210.58,106.46,-1.48,-1.06,-0.75,-1.62,-0.52
class-00000001,00000001_00025000_10676,-10.73,1.81,0.63,388.7,264.01,15.35,107.36,88.33,3.92,9,15.76,-1.79,8.57,31.62,97.06,31.62,97.08,200.38,97.08,-3.51,1.44,1.69,-1.71,-1.05
class-00000001,00000001_00025000_10678,-9.98,2.14,0.82,426.57,288.08,10.92,91.06,76.92,4.83,8.01,17.3,-1.92,4.86,22.79,81.14,22.79,81.16,177.01,81.16,-4.49,2.26,2.53,-1.69,-2.41
class-00000001,00000001_00025000_10680,-9.41,-0.69,2.48,608.5,400.14,7.06,77.97,67.81,1.06,3.89,12,-1.65,1.29,15.07,68.28,15.07,68.3,158.26,68.3,-2.99,-1.34,-0.9,-1.81,-3.29
class-00000001,00000001_00025000_10681,-9.66,-0.6,2.07,592.53,390.33,8.45,82.66,71.02,1.3,4.61,12.34,-1.65,2.53,17.84,72.91,17.84,72.93,164.76,72.93,-2.98,-1.09,-0.66,-1.82,-2.9
class-00000001,00000001_00025000_10682,-9.41,-0.13,6.08,697.65,459.18,10.92,88.65,74.64,0.11,5.09,10.06,-1.35,5.08,22.84,79.15,22.84,79.17,171.66,79.17,-1.99,-1.58,-1.14,-1.55,-2.43
class-00000001,00000001_00025000_10684,-10.01,2.1,1.49,479.7,328.52,14.74,102.4,84.34,5.13,9.85,17.36,-1.99,8.63,30.52,92.55,30.52,92.57,191.76,92.57,-3.41,2.59,2.86,-1.67,-1.35
class-00000001,00000001_00025000_10685,-10.4,-0.5,3.74,692.39,450.9,7.71,79.27,68.59,0.6,4.01,11.41,-1.51,2.12,16.4,69.66,16.4,69.68,159.78,69.68,-2.43,-1.6,-1.12,-1.73,-3.11
class-00000001,00000001_00025000_10689,-11.38,0.41,10.5,825.68,525.79,8.7,80.11,68.79,0.26,4.32,10.11,-1.1,3.57,18.43,70.75,18.43,70.77,159.89,70.78,-1.98,-1.52,-1.06,-1.43,-2.98
