class,ip,ea,vis,bp,fp,li,lio2,o2m,o2
class-00000001,-10.97,-1.04,4.91,661.39,436.47,18.62,8.03,9.85,-0.86
class-00000001,-8.74,2.88,1.69,486.31,330.11,7.52,7.87,18.52,-2.13
class-00000001,-9.8,0.37,1.76,518.83,349.72,12.43,8.4,17.14,-1.94
class-00000001,-10.97,-1.04,4.91,661.39,436.47,18.62,8.03,9.85,-0.86
class-00000001,-8.74,2.88,1.69,486.31,330.11,7.52,7.87,18.52,-2.13
class-00000001,-9.8,0.37,1.76,518.83,349.72,12.43,8.4,17.14,-1.94
class-00000001,-9.83,-0.87,6.5,643.01,426.5,12.34,7.41,12.94,-1.96
class-00000001,-9.36,-0.75,4.19,613.46,409.17,11.63,7.73,14.47,-2.04
class-00000001,-9.12,0.85,4.71,619.51,412.11,13.03,7.8,13.81,-2.2
class-00000001,-10.85,0.39,1.97,439.93,313.28,20.06,10.58,14.15,-1.83
class-00000001,-10.11,-0.54,7.69,651.98,443.4,8.52,5.26,12.77,-1.67
class-00000001,-9.23,0.85,2.3,563.27,384.61,5.58,5.16,16.3,-2.01
class-00000001,-10.67,0.3,0.54,386.1,257.96,13.55,7.27,13.99,-1.55
class-00000001,-10.65,1.95,0.79,431.2,291.99,11.78,7.53,16.19,-1.86
class-00000001,-9.5,-0.6,2.91,605.83,404.99,12.6,5.81,9.86,-1.39
class-00000001,-10,-0.86,1.46,475.4,322.75,13.54,7.29,12.27,-1.48
class-00000001,-10.41,-0.27,4.55,652.95,433.04,13.25,5.46,9.44,-1.48
class-00000001,-8.94,0.05,5.15,573.46,388.7,9.28,4.94,11.01,-1.62
class-00000001,-9.69,-0.81,1.8,522.67,352.43,12.88,7.31,13.59,-1.61
class-00000001,-8.8,-0.23,6.24,654.53,435.28,1.94,1.88,11.32,-1.65
class-00000001,-10.97,-1.04,4.91,661.39,436.47,18.62,8.03,9.85,-0.86
class-00000001,-8.74,2.88,1.69,486.31,330.11,7.52,7.87,18.52,-2.13
